InputId,RemoteId
121931329164,121931329164
150903997258,150903997258
121927322125,121927322125
121768785432,121768785432
121922227466,121922227466
121767083629,121767083629
121779545345,121779545345
121950256981,121950256981
128186581630,128186581630
121948146094,121948146094
121925711507,121925711507
121981914005,121981914005
121915642258,121915642258
121932087206,121932087206
121948976778,121948976778
121988829510,121988829510
121930411039,121930411039
121942234699,121942234699
121920471363,121920471363
121965261407,121965261407
121917095076,121917095076
121772809568,121772809568
121924848527,121924848527
123519584525,123519584525
121964509028,121964509028
121974324853,121974324853
121918197104,121918197104
121915849089,121915849089
121953814073,121953814073
121775596709,121775596709
121923077642,121923077642
121918636449,121918636449
121936435537,121936435537
121982122605,121982122605
121982330131,121982330131
121948322454,121948322454
121920596882,121920596882
121927611571,121927611571
121937945364,121937945364
121768161902,121768161902
121768006213,121768006213
121918911915,121918911915
121916488297,121916488297
121965420646,121965420646
121935295292,121935295292
128556641942,128556641942
121970391559,121970391559
121886376783,121886376783
121981617470,121981617470
121981555583,121981555583
121928505011,121928505011
161442406144,161442406144
121919982127,121919982127
121886961305,121886961305
161444777598,161444777598
121963864402,121963864402
121922916894,121922916894
134191091487,134191091487
121916736281,121916736281
121989043760,121989043760
121923541159,121923541159
121923127207,121923127207
121963201921,121963201921
121989281131,121989281131
121765997830,121765997830
121772964729,121772964729
121919584292,121919584292
121948116225,121948116225
121929638812,121929638812
121822705562,121822705562
121930201446,121930201446
121968737330,121968737330
121894754703,121894754703
121930397344,121930397344
121914474093,121914474093
121947670923,121947670923
121921111387,121921111387
121929277727,121929277727
121917513529,121917513529
121927871243,121927871243
121918737038,121918737038
121964770871,121964770871
121784503893,121784503893
121964772374,121964772374
121982180961,121982180961
139143419455,139143419455
121988822907,121988822907
121916158056,121916158056
121916462345,121916462345
121950426292,121950426292
155792358309,155792358309
121934600557,121934600557
121989761565,121989761565
121980598666,121980598666
121961072200,121961072200
121769565872,121769565872
121957103789,121957103789
121765223509,121765223509
121927025837,121927025837
121925942300,121925942300
121765994867,121765994867
121760590457,121760590457
121779856434,121779856434
132949406759,132949406759
121769250051,121769250051
121989339771,121989339771
121920215180,121920215180
121796736896,121796736896
121773120361,121773120361
121952266326,121952266326
121946857630,121946857630
121923846671,121923846671
121916572984,121916572984
121890993438,121890993438
121927943994,121927943994
121973785143,121973785143
121916930622,121916930622
121953908617,121953908617
121927780922,121927780922
121919428896,121919428896
121925780737,121925780737
121982364241,121982364241
121886214450,121886214450
121988796057,121988796057
121770188341,121770188341
121922763381,121922763381
121964507940,121964507940
121989100859,121989100859
121981467915,121981467915
121980596654,121980596654
162770539910,162770539910
121970482191,121970482191
121982389152,121982389152
121767698488,121767698488
121936457250,121936457250
121780630611,121780630611
121929314923,121929314923
121884913432,121884913432
121955206672,121955206672
121982245249,121982245249
121766930461,121766930461
121980414240,121980414240
121918343282,121918343282
121952193849,121952193849
121930259228,121930259228
129162451584,129162451584
121934586960,121934586960
121981408417,121981408417
121917513900,121917513900
121783893388,121783893388
121924142237,121924142237
121982391460,121982391460
121940330276,121940330276
121927627285,121927627285
121974826009,121974826009
121981315495,121981315495
121923619157,121923619157
121930268508,121930268508
121915658766,121915658766
121964509222,121964509222
121980413618,121980413618
121989576571,121989576571
121938402448,121938402448
153220776764,153220776764
121918329193,121918329193
121929315497,121929315497
121783107175,121783107175
121886780683,121886780683
121772593928,121772593928
121773903663,121773903663
121783572522,121783572522
121981974788,121981974788
121916653842,121916653842
121981615156,121981615156
121927257735,121927257735
121982513045,121982513045
121922454319,121922454319
121981823630,121981823630
121950318690,121950318690
121941513319,121941513319
121919253549,121919253549
121782333293,121782333293
121981348916,121981348916
121922189434,121922189434
121965416222,121965416222
121989732516,121989732516
121768319106,121768319106
121940322076,121940322076
121941536425,121941536425
121927564142,121927564142
121928863092,121928863092
121760282211,121760282211
121981824019,121981824019
121917578372,121917578372
121965268499,121965268499
121920645789,121920645789
121926352735,121926352735
121924010680,121924010680
121989518991,121989518991
121965570721,121965570721
121941498904,121941498904
121783492946,121783492946
121781563396,121781563396
121947748435,121947748435
121926998374,121926998374
121765692533,121765692533
121926967863,121926967863
121963202425,121963202425
121927024421,121927024421
121773280163,121773280163
121770961313,121770961313
121925306802,121925306802
121922838928,121922838928
121767400602,121767400602
121775129878,121775129878
121885864769,121885864769
121770960258,121770960258
121767086494,121767086494
162390004224,162390004224
121970390196,121970390196
121950412412,121950412412
121928103169,121928103169
121767237660,121767237660
121960621872,121960621872
121767237970,121767237970
121968756832,121968756832
127889030780,127889030780
121761163053,121761163053
121957484139,121957484139
121782023494,121782023494
121924847109,121924847109
161695784319,161695784319
121759668916,121759668916
121935961897,121935961897
135551933044,135551933044
121768785681,121768785681
121932412984,121932412984
121924025203,121924025203
121916731051,121916731051
121961154851,121961154851
121929115153,121929115153
121930105601,121930105601
121928874023,121928874023
121923541088,121923541088
121924632391,121924632391
121964463771,121964463771
121783891980,121783891980
126914146197,126914146197
121925446323,121925446323
121982153844,121982153844
156672476991,156672476991
121964816184,121964816184
128227925658,128227925658
121990357384,121990357384
121924688955,121924688955
121772967008,121772967008
121948109701,121948109701
121929805323,121929805323
121940329749,121940329749
151327883900,151327883900
121922517268,121922517268
121771881830,121771881830
163617355158,163617355158
126937526162,126937526162
121922349110,121922349110
121963207000,121963207000
121892265256,121892265256
121920813887,121920813887
121759504896,121759504896
121922768947,121922768947
121891247220,121891247220
121935372104,121935372104
121915865945,121915865945
121765225529,121765225529
129151355457,129151355457
121917425529,121917425529
121963204684,121963204684
121769401188,121769401188
121906485384,121906485384
121926835043,121926835043
121772501791,121772501791
121916886440,121916886440
121929334784,121929334784
121968718958,121968718958
121926063937,121926063937
121767083084,121767083084
121928030362,121928030362
121927260214,121927260214
121922144166,121922144166
121917427283,121917427283
121948149646,121948149646
121759973454,121759973454
121915652221,121915652221
121931044167,121931044167
153194151829,153194151829
121782953771,121782953771
121768319599,121768319599
121773119308,121773119308
121885864763,121885864763
121930970627,121930970627
121964505004,121964505004
121953810239,121953810239
121926637958,121926637958
121989727620,121989727620
121915407426,121915407426
121924989339,121924989339
121928055963,121928055963
121989639578,121989639578
121765229497,121765229497
121772036918,121772036918
121915650721,121915650721
121970388339,121970388339
121920057106,121920057106
121827608745,121827608745
121926012416,121926012416
121923074340,121923074340
121935032374,121935032374
121935034493,121935034493
121775909159,121775909159
121918185006,121918185006
121936379171,121936379171
121915804020,121915804020
121920673376,121920673376
121923739196,121923739196
121765994057,121765994057
121928649729,121928649729
160668010640,160668010640
155793196810,155793196810
162160447379,162160447379
121925749362,121925749362
121924984638,121924984638
121957403175,121957403175
121924517004,121924517004
121968748355,121968748355
121766933368,121766933368
121968968467,121968968467
121950485877,121950485877
121768322050,121768322050
121952286326,121952286326
121799346101,121799346101
121916779045,121916779045
121759667234,121759667234
121980414310,121980414310
121920132150,121920132150
121768783920,121768783920
121990300280,121990300280
121945767562,121945767562
121922770582,121922770582
121759975780,121759975780
121920755468,121920755468
121797082234,121797082234
121923122189,121923122189
121781401001,121781401001
121974977872,121974977872
121946872963,121946872963
161449388565,161449388565
121916486063,121916486063
121952278703,121952278703
121917549064,121917549064
121920663416,121920663416
121767084340,121767084340
121935375998,121935375998
121917086996,121917086996
121929624942,121929624942
130002013475,130002013475
121935960722,121935960722
121949056534,121949056534
121928722522,121928722522
121945753759,121945753759
121948979015,121948979015
121922216069,121922216069
150610840745,150610840745
121942253219,121942253219
121982093351,121982093351
121881995271,121881995271
121932366923,121932366923
121922224312,121922224312
121988856674,121988856674
121884795555,121884795555
121918169468,121918169468
121935993964,121935993964
121935957780,121935957780
121782330743,121782330743
155787140209,155787140209
121774823938,121774823938
121930225976,121930225976
121919735612,121919735612
121918593107,121918593107
121981825334,121981825334
121953886828,121953886828
121989666665,121989666665
121778928493,121778928493
121915332199,121915332199
121783575185,121783575185
121964523280,121964523280
121990268425,121990268425
